Companies,SectorCategory,HQ_Country,Countries_Filled,Backdate,Responded,German,Regions,Response.Sectors,Responded.To,Tags
Aquila Capital,Financial services,DE,NO,2020-08-18,Yes,1,NA,Wind energy,Norway: Wind park allegedly threatens herding livelihoods of indigenous Saami community,"Clean, Healthy & Sustainable Environment|Climate Crisis|Indigenous Peoples|Just transition|Land Rights"
Eolus Vind,Extractive,SE,NO,2020-08-18,Yes,0,NA,Wind energy,Norway: Wind park allegedly threatens herding livelihoods of indigenous Saami community,"Clean, Healthy & Sustainable Environment|Climate Crisis|Indigenous Peoples|Just transition|Land Rights"
Alcoa,Extractive,US,NO,2020-08-18,Yes,0,NA,Wind energy,Norway: Wind park allegedly threatens herding livelihoods of indigenous Saami community,"Clean, Healthy & Sustainable Environment|Climate Crisis|Indigenous Peoples|Just transition|Land Rights"
Fábrica de Explosivos de Moçambique,Pharmaceutical and chemical,MZ,MZ,2020-08-17,No,0,NA,NA,Maritime shipping’s industry and legal chicanery are to blame for Beirut’s Blast; two cos. did not respond,Injuries|Killings
Al Raqeeb Buildings General Contracting Co.,Heavy manufacturing,KW,KW,2020-08-18,No,0,Middle East & No. Africa,Construction,Kuwait: Al Raqeeb Co. reportedly withholding wages & passports from stranded workers; co. did not respond,Adequate Living Standards|Freedom of Movement|Housing|Labour Rights|Living Wage|Migrants & Immigrants|Personal Health|Wage Theft
X Corp. (formerly Twitter),Information technology,US,AE,2020-08-17,No,0,Middle East & No. Africa,"Technology: Internet & social media|Technology, telecom & electronics",UAE: Twitter faces allegations of free speech restrictions following suspension of activist account; co. did not respond,Freedom of Expression
Comisión Federal de Electricidad (CFE),Extractive,MX,MX,2020-08-18,No,0,NA,NA,México: Acusan a termoeléctrica de CFE en Hidalgo de violar límites de emisiones mortales; la empresa no responde,"Clean, Healthy & Sustainable Environment"
Harita Nickel,Extractive,ID,ID,2020-08-24,No,0,NA,Mining,Indonesia: Mining companies seek approval to dispose mining waste into ocean despite potential damage to local ecosystem; Harita responds,"Clean, Healthy & Sustainable Environment"
Thermopower Process Technology,Infrastructure and utilities,ZA,ZA,2009-08-11,Yes,0,NA,Building materials & equipment|Waste disposal,So. Africa: Community accuses Thermopower of environmental pollution & causing illness,"Certification|Clean, Healthy & Sustainable Environment|Governments|Impact Assessment|Lawsuits & regulatory action"
Vedanta Resources Limited,Extractive,GB,ZM,2007-10-26,Yes,0,NA,Metals & steel|Mining,Christian Aid & other organizations call on multinationals in Zambia to give the country “a better deal” in copper mining contracts,"Access to Water|Economic, Social, and Cultural Rights|Payments to governments"
Carrefour,Retail and consumer products,FR,BD,2005-05-09,Yes,0,NA,Clothing & textile|Supermarkets & grocery,"Clean Clothes Campaign says companies sourcing from Bangladesh factory failed to detect serious problems before building collapsed (includes responses by Carrefour, Zara, KarstadtQuelle, Cotton Group, Neckermann, Scapino, Steillmann)","Company Policies|Company Reporting|Company Training|Deaths|Economic, Social, and Cultural Rights|Human rights monitoring|Injuries|Labour Rights|Supply Chains"
KarstadtQuelle,Retail and consumer products,DE,BD,2005-05-09,Yes,1,NA,Clothing & textile,"Clean Clothes Campaign says companies sourcing from Bangladesh factory failed to detect serious problems before building collapsed (includes responses by Carrefour, Zara, KarstadtQuelle, Cotton Group, Neckermann, Scapino, Steillmann)",Deaths|Injuries|Labour Rights|Supply Chains
Shell plc,Extractive,GB,IE,2009-06-02,Yes,0,NA,"Oil, gas & coal",Ireland: Archbishop Desmond Tutu raises concerns over alleged assault on a protestor during protest against Shell's Corrib project,Protests|Violence
Microsoft,Information technology,US,CN|US,2006-05-16,Yes,0,NA,"Technology: Internet & social media|Technology, telecom & electronics","Amnesty Intl. online actions call on Microsoft, Yahoo!, Google not to assist govts. in repression of internet freedom",Access to Information|Freedom of Expression
Carlsberg Breweries,Food and beverage,DK,KH,2006-06-02,Yes,0,NA,Food & beverage,Asia: Campaign spotlights health dangers to young women promoting major beer brands,Illness|Personal Health|Sexual harassment|Violence|Women
Newmont (formerly Newmont Goldcorp),Extractive,US,GH,2006-02-28,Yes,0,NA,Mining,"Ghana: Police fired on farmers in November, killing one - were protesting inadequate compensation from Newmont for losses of crop trees",Companies Raising Human Rights Issues with Governments|Company Grievance Mechanisms|Governments|Killings|Protests|Security Issues & Conflict Zones|Violence|Voluntary Principles on Security & Human Rights
Lev Leviev Group,Extractive,IL,AO|IL,2008-01-15,Yes,0,NA,Construction|Diamond,"Opinion: Granting Leviev's company contract for new UK embassy in Israel shows UK Govt. ""not serious about stopping Israeli settlements"" (Guardian)","Company Support for Initiatives Promoting Development, Economic and Social Rights|Complicity|Violence"
Tongaat Hulett,Food and beverage,ZA,MZ,2007-07-31,Yes,0,NA,Agriculture & livestock|Sugar,Mozambique: Security guards at Mafambisse sugar plantation accused of killing striking worker,Deaths|Labour Rights|Security Issues & Conflict Zones
Aluminij,Heavy manufacturing,BA,BA,2006-02-06,Yes,0,NA,Metals & steel,"Bosnia & Herzegovina: Amnesty Intl. report finds widespread employment discrimination is obstacle to return of refugees - refers to Aluminij, New Ljubija Mines (joint venture Mittal Steel & RŽR Ljubija)","Racial, ethnicity, caste or origin discrimination"
Walt Disney,Other,US,CN,2007-02-14,Yes,0,NA,Entertainment|Toy,"China: 800 lose jobs after Disney licensee ends contract with factory, following allegations of labour abuses - Disney says it worked with the factory & licensee to try to improve standards",Labour Rights|Supply Chains
GlaxoSmithKline,Pharmaceutical and chemical,GB,Global,2005-07-11,Yes,0,Africa|Global,Pharmaceutical,NA,Illness|Intellectual Property|People living with HIV/AIDs|Personal Health|Restricted access to medicines
Monsanto (part of Bayer),Food and beverage,US,IN,2007-06-18,Yes,0,NA,Agriculture & livestock,"India: NGO report says Monsanto, Bayer have ""much more"" to do to address child labour in cotton production","Child labour|Company Support for Initiatives Promoting Development, Economic and Social Rights|Right to Education|Supply Chains"
Grupo México,Other,MX,MX,2006-11-30,Yes,0,NA,Mining,México: Viudas de fallecidos en mina de Industrial Minera México denuncian que condiciones de inseguridad persisten y que la empresa despide a trabajadores sindicalizados,Deaths|Labour Rights|National human rights institutions (NHRI)|Personal Health
GlaxoSmithKline,Pharmaceutical and chemical,GB,IN,2010-01-09,Yes,0,NA,Drug-testing|Pharmaceutical,"India: NGOs object to HPV vaccines promoted by GlaxoSmithKline, MSD, citing health risks & unethical marketing",Access to Information|Children|Illness|Personal Health|Pregnant women|Restricted access to medicines|WHO|Women
Alcoa,Extractive,US,US,2006-05-23,Yes,0,NA,Metals & steel,"""Toxic 100"" list of corporate air polluters, prepared by Univ. of Massachusetts research institute (PERI): Alcoa in top 10.","Clean, Healthy & Sustainable Environment|Personal Health"
Shell plc,Extractive,GB,NG,2009-07-08,Yes,0,NA,"Oil, gas & coal","NGO report on Shell's impact on climate change - says Shell is ""dirtiest"" oil companies regarding carbon emissions","Clean, Healthy & Sustainable Environment|Climate Crisis"
HSBC,Financial services,GB,CN,2005-08-19,Yes,0,NA,Finance & banking,"6 banks listed among top shareholders of Chinese wig firm reportedly using forced prison labour: Deutsche Bank, HSBC, ING, Merrill Lynch, Morgan Stanley, UBS",Forced Labour & Modern Slavery|Prison Labour
Royalife,Retail and consumer products,IL,IL,2008-09-16,Yes,0,NA,Clothing & textile|Manufacturing: General,Israel/West Bank: Cases of employers' lack of compliance with High Court ruling extending labour rights to Palestinian workers,Labour Rights|Lawsuits & regulatory action|Personal Health|Security Issues & Conflict Zones
